record_code,format_version,submission_date,reporting_agency,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,epa_reach,description,rmis_region,rmis_basin,rmis_latitude,rmis_longitude,record_origin
"L","4.2","20260130","CDFW","6FBMAUPR","4","UPPER MAD RIVER","40.3689","-123.4328","MAEL","NOCA",,"UPPER MAD RIVER, RUTH LAKE AND ABOVE","NOCA","MAEL","40.3689","-123.4328","N"
"L","4.2","20260130","CDFW","6FBELRED RWCP","4","REDWOOD CREEK PONDS",,,"MAEL","NOCA",,"REDWOOD CREEK PONDS, REDWOOD CREEK TRIB TO EEL RIVER","NOCA",,,,"N"
"L","4.2","20260130","CDFW","6FBELVAN YAGH","4","YAGER CREEK HATCHERY",,,"MAEL","NOCA",,"YAGER CREEK HATCHERY","NOCA","MAEL",,,"N"
"L","4.2","20260130","CDFW","6FCSASAF LSHA MCADN","4","MCCLOUD RIVER AT AH-DI-NA","41.1088","-122.0997","SACR","SAFA",,"MCCLOUD RIVER AT AH-DI-NA CAMPGROUND TRIB TO PITT RIVER TRIB TO LAKE SHASTA",,,"41.1088","-122.0997","N"
"L","4.2","20260130","CDFW","6FCSASWC","4","STILLWATER CREEK","40.467","-122.249","SACR","SAFA",,"STILLWATER CREEK TRIB TO SACRAMENTO ACROSS FROM ANDERSON, CA","SAFA","SACR","40.467","-122.249","N"
"L","4.2","20260130","CDFW","6FBELMAI","4","MAIN STEM EEL RIVER","40.64","-124.31","MAEL","NOCA",,"MAIN STEM EEL RIVER","NOCA","MAEL","40.64","-124.31","N"
"L","4.2","20260130","CDFW","6FCSAFEA LFLA","4","FEATHER AB THRM LOW FLOW","39.455","-121.637","FEA","SAFA",,"FEATHER RIVER, HATCHERY BARRIER DAM TO THERMALITO (LOW FLOW AREA)","SAFA","FEA","39.455","-121.637","N"
"L","4.2","20260130","CDFW","6FCSAFEA YUBABDG","4","YUBA RIVER BELOW DAGUERRE","39.127","-121.596","FEA","SAFA",,"YUBA RIVER BELOW DAGUERRE POINT DAM","SAFA","FEA","39.127","-121.596","N"
"L","4.2","20260130","CDFW","6FCSAFEA YUBADAG","4","YUBA RIVER DAGUERRE DAM","39.208","-121.444","FEA","SAFA",,"YUBA RIVER DAGUERRE POINT DAM","SAFA","FEA","39.208","-121.444","N"
"L","4.2","20260130","CDFW","6FCSASAD","4","SAC R RBDD TO ACID","40.153","-122.204","SACR","SAFA",,"SACRAMENTO RIVER MAINSTEM, REDBLUFF DIVERSION DAM TO ANDERSON-COTTONWOOD IRRIGATION DAM","SAFA","SACR","40.153","-122.204","N"
"L","4.2","20260130","CDFW","6FCSASAF COLU","4","SAC R AT COLUSA","39.2","-122","SACR","SAFA",,"SACRAMENTO RIVER COLUSA","SAFA","SACR","39.2","-122","N"
"L","4.2","20260130","CDFW","6FCSASAF LSHA MC","4","MCCLOUD RIVER","40.7716","-122.3033","SACR","SAFA",,"MCCLOUD RIVER TRIB TO PITT RIVER TRIB TO LAKE SHASTA",,,"40.7716","-122.3033","N"
"L","4.2","20260130","CDFW","6FBELRED MACP","4","MARSHALL CREEK PONDS",,,"MAEL","NOCA",,"MARSHALL CREEK PONDS","NOCA",,,,"N"
"L","4.2","20260130","CDFW","6FCSASAF REDG","4","SAC R AT REDDING","40.573","-122.371","SACR","SAFA",,"SACRAMENTO RIVER REDDING","SAFA","SACR","40.573","-122.371","N"
"L","4.2","20260130","CDFW","6FCSASAF SCT NET","4","SAC R AT SCOTTYS LAND NET","39.738","-121.96","SACR","SAFA",,"SACRAMENTO RIVER AT SCOTTYS LANDING CHICO CA NET PEN",,,"39.738","-121.96","N"
"L","4.2","20260130","CDFW","6FBELSPW","4","SPROWEL CREEK","40.07","-123.827","MAEL","NOCA",,"SPROWEL CREEK (SPROWL SPROUL) TRIB TO SOUTH FORK EEL","NOCA","MAEL","40.07","-123.827","N"
"L","4.2","20260130","CDFW","6FCSASBF YL PUTAH","4","PUTAH CREEK TRIB YOLO SAC","38.5155","-121.6131","SACR","SAFA",,"PUTAH CREEK TRIB TO YOLO BYPASS TRIB TO SACRAMENTO RIVER",,,"38.5155","-121.6131","N"
"L","4.2","20260130","CDFW","6FCSJMID BACE","4","SAN JOAQ MID BACON E","37.957","-121.53","SJR","SJOA",,"SAN JOAQUIN MIDDLE RIVER BACON ISLAND EAST SIDE","SJOA","SJR","37.957","-121.53","N"
"L","4.2","20260130","CDFW","6FCSJMID WOOD","4","SAN JOAQ MID WOOD E","37.922","-121.528","SJR","SJOA",,"SAN JOAQUIN MIDDLE RIVER MI 10 WOODWARD ISLAND EAST SIDE","SJOA","SJR","37.922","-121.528","N"
"L","4.2","20260130","CDFW","6FBELVAN YAGRLAWBTH","4","BOOTHS RUN CREEK","40.6621","-123.9672","MAEL","NOCA",,"BOOTHS RUN CREEK, TRIBUTARY TO LAWRENCE CREEK","NOCA","MAEL","40.6621","-123.9672","N"
"L","4.2","20260130","CDFW","6FCSJMID","4","SAN JOAQ MIDDLE RIVER","38.055","-121.534","SJR","SJOA",,"SAN JOAQUIN MIDDLE RIVER BETW SAN JOAQUIN AND OLD RIVER","SJOA","SJR","38.055","-121.534","N"
"L","4.2","20260130","CDFW","6FCSJMNFR CONS HAT","4","SAN JOAQ R CONSERVAT HAT","36.9868","-119.7178","SJR","SJOA",,"SAN JOAQUIN RIVER SALMON CONSERVATION FACILITY BELOW FRIANT DAM MILLERTON LAKE FRIANT CA","SJOA","SJR","36.9868","-119.7178","N"
"L","4.2","20260130","CDFW","6FBFCMCG MCGF","4","MCCREADY GULCH FAC.",,,"MAEL","NOCA",,"MCCREADY GULCH FACILITY","NOCA","MAEL",,,"N"
"L","4.2","20260130","CDFW","6FBFL","4","FRESHWATER LAGOON","41.27","-124.01","MAEL","NOCA",,"FRESHWATER LAGOON","NOCA","MAEL","41.27","-124.01","N"
"L","4.2","20260130","CDFW","6FCSJOLD CVP","4","SAN JOAQ OLD CENT VAL PRJ","37.817","-121.559","SJR","SJOA",,"SAN JOAQUIN OLD RIVER CENTRAL VALLEY PROJECT","SJOA","SJR","37.817","-121.559","N"
"L","4.2","20260130","CDFW","6FCSJOLD FAYI","4","SAN JOAQ OLD FAY ISL","37.95","-121.56","SJR","SJOA",,"SAN JOAQUIN OLD RIVER MI 9 FAY ISLAND","SJOA","SJR","37.95","-121.56","N"
"L","4.2","20260130","CDFW","6FCSJOLD STPP","4","SAN JOAQ OLD STATE PUMP",,,"SJR","SJOA",,"SAN JOAQUIN OLD RIVER STATE PUMPING PLANT","SJOA","SJR",,,"N"
"L","4.2","20260130","CDFW","6FCSJOLD SWP","4","SAN JOAQ OLD STATE PRJ","37.826","-121.596","SJR","SJOA",,"SAN JOAQUIN OLD RIVER STATE WATER PROJECT","SJOA","SJR","37.826","-121.596","N"
"L","4.2","20260130","CDFW","6FCSJSTO CRIT","4","SAN JOAQ CRIT UP DURHAM F","37.714","-121.285","SJR","SJOA",,"SAN JOAQUIN RIVER MI 65 CRITCHETT RD 5 MI UPSTREAM OF DURHAM FERRY S RTE 120","SJOA","SJR","37.714","-121.285","N"
"L","4.2","20260130","CDFW","6FBGR    GRPD","4","GARCIA RIVER PONDS",,,"NORU","CECA",,"GARCIA RIVER PONDS","CECA","NORU",,,"N"
"L","4.2","20260130","CDFW","6FCSJSTO COLU","4","SAN JOAQ COLUMBIA CUT","38.027","-121.493","SJR","SJOA",,"SAN JOAQUIN RIVER COLUMBIA CUT AT MEDFORD ISLAND","SJOA","SJR","38.027","-121.493","N"
"L","4.2","20260130","CDFW","6FCSJSTO KING","4","SAN JOAQ KINGS ISL MARINA","38.059","-121.458","SJR","SJOA",,"SAN JOAQUIN RIVER DISAPPOINTMENT SLOUGH KINGS ISLAND MARINA BOAT RAMP WHITE SLOUGH","SJOA","SJR","38.059","-121.458","N"
"L","4.2","20260130","CDFW","6FBLG","4","LAGUNITAS CREEK","38.08","-122.83","NORU","CECA",,"LAGUNITAS CREEK, TRIBUTARY TO TOMALES BAY",,,"38.08","-122.83","N"
"L","4.2","20260130","CDFW","6FCSUSUI","4","SUISUN BAY","38.07","-121.96","SFBA","CECA",,"SUISUN BAY","CECA","SFBA","38.07","-121.96","N"
"L","4.2","20260130","CDFW","6FDBU","4","BUTANO CREEK","37.24","-122.39","SFBA","CECA",,"BUTANO CREEK, TRIBUTARY TO PESCADERO CREEK","CECA","SFBA","37.24","-122.39","N"
"L","4.2","20260130","CDFW","6FBLILRP","4","LITTLE RIVER POND",,,"MAEL","NOCA",,"LITTLE RIVER POND","NOCA","MAEL",,,"N"
"L","4.2","20260130","CDFW","6FDPC","4","PESCADERO CREEK","37.26","-122.4","SAMO","CECA",,"PESCADERO CREEK","CECA","SAMO","37.26","-122.4","N"
"L","4.2","20260130","CDFW","6FDSC BC","4","BIG CREEK","37.067","-122.23","SAMO","CECA",,"BIG CREEK, TRIBUTARY TO SCOTT CREEK NEAR DAVENPORT, CA","CECA","SAMO","37.067","-122.23","N"
"L","4.2","20260130","CDFW","6FDSS","4","SALINAS RIVER","36.75","-121.81","SAMO","CECA",,"SALINAS RIVER","CECA","SAMO","36.75","-121.81","N"
"L","4.2","20260130","CDFW","6FBELRED DICP","4","DINNER CREEK PONDS","40.0927","-123.931","MAEL","NOCA",,"DINNER CREEK PONDS","NOCA",,"40.0927","-123.931","N"
"L","4.2","20260130","CDFW","6FBMAFRA","4","FRANCIS CREEK",,,"MAEL","NOCA",,"FRANCIS CREEK, TRIBUTARY OF MAD RIVER","NOCA","MAEL",,,"N"
"L","4.2","20260130","CDFW","6FDTC","4","TUNITAS CREEK","37.36","-122.4","SAMO","CECA",,"TUNITAS CREEK","CECA","SAMO","37.36","-122.4","N"
"L","4.2","20260130","CDFW","6FBMANFK","4","N.F. MAD RIVER","40.8724","-123.99","MAEL","NOCA",,"NORTH FORK OF MAD RIVER","NOCA","MAEL","40.8724","-123.99","N"
"L","4.2","20260130","CDFW","6FCSU","4","SUISUN BAY/CHANNEL","38.07","-121.96","SFBA","CECA",,"SUISUN BAY/CHANNEL SYSTEM","CECA","SFBA","38.07","-121.96","N"
"L","4.2","20260130","CDFW","6FCSUGRI","4","GRIZZLY BAY","38.12","-122.02","SFBA","CECA",,"GRIZZLY BAY","CECA","SFBA","38.12","-122.02","N"
"L","4.2","20260130","CDFW","6FBMTMAI","4","MAINSTEM MATTOLE RIV","40.3","-124.35","MAEL","NOCA",,"MAINSTEM MATTOLE RIVER","NOCA","MAEL","40.3","-124.35","N"
"L","4.2","20260130","CDFW","6FKTRNFK","4","TRINITY RIVER N FORK","40.77","-123.127","TRIN","KLTR",,"TRINITY RIVER NORTH FORK","KLTR","TRIN","40.77","-123.127","N"
"L","4.2","20260130","CDFW","6FCSUUSC","4","UPPER SUISUN CHANNEL","38.07","-122.01","SFBA","CECA",,"UPPER SUISUN CHANNELS","CECA","SFBA","38.07","-122.01","N"
